country,year,co2,co2_per_capita,population
Canada,1900,20.628,3.81,5414425.0
Canada,1901,23.845,4.315,5526732.0
Canada,1902,25.648,4.531,5660474.0
Canada,1903,27.96,4.807,5816421.0
Canada,1904,33.097,5.538,5976663.0
Canada,1905,35.387,5.762,6141319.0
Canada,1906,37.387,5.925,6310511.0
Canada,1907,46.991,7.247,6484363.0
Canada,1908,47.408,7.115,6663003.0
Canada,1909,45.386,6.639,6835990.0
Canada,1910,51.622,7.371,7002961.0
Canada,1911,60.269,8.413,7163537.0
Canada,1912,67.271,9.193,7317326.0
Canada,1913,79.282,10.622,7463921.0
Canada,1914,68.381,8.982,7613451.0
Canada,1915,61.116,7.87,7765975.0
Canada,1916,76.457,9.652,7921554.0
Canada,1917,85.243,10.55,8080249.0
Canada,1918,89.519,10.857,8245222.0
Canada,1919,76.09,9.049,8408944.0
Canada,1920,84.378,9.844,8571309.0
Canada,1921,80.483,9.217,8732206.0
Canada,1922,69.209,7.784,8891519.0
Canada,1923,92.981,10.275,9049130.0
Canada,1924,77.384,8.403,9209535.0
Canada,1925,75.248,8.028,9372783.0
Canada,1926,84.756,8.885,9538925.0
Canada,1927,91.999,9.477,9708012.0
Canada,1928,93.777,9.491,9880096.0
Canada,1929,99.03,9.862,10041248.0
Canada,1930,94.348,9.258,10191122.0
Canada,1931,75.849,7.343,10329362.0
Canada,1932,70.207,6.715,10455609.0
Canada,1933,69.483,6.574,10569491.0
Canada,1934,79.913,7.479,10684614.0
Canada,1935,78.796,7.295,10800991.0
Canada,1936,86.163,7.891,10918635.0
Canada,1937,93.483,8.47,11037560.0
Canada,1938,85.544,7.667,11157781.0
Canada,1939,95.004,8.41,11296195.0
Canada,1940,108.622,9.484,11453308.0
Canada,1941,120.152,10.332,11629639.0
Canada,1942,131.077,11.084,11825718.0
Canada,1943,138.062,11.465,12042086.0
Canada,1944,140.407,11.45,12262412.0
Canada,1945,130.521,10.453,12486770.0
Canada,1946,138.422,10.886,12715233.0
Canada,1947,143.548,11.087,12947875.0
Canada,1948,158.507,12.022,13184774.0
Canada,1949,145.022,10.783,13449459.0
Canada,1950,154.134,11.216,13741739.0
Canada,1951,162.678,11.551,14083297.0
Canada,1952,159.409,11.007,14482799.0
Canada,1953,160.608,10.781,14897875.0
Canada,1954,162.968,10.638,15318985.0
Canada,1955,169.473,10.775,15728280.0
Canada,1956,189.802,11.745,16159621.0
Canada,1957,182.811,10.985,16641328.0
Canada,1958,182.155,10.65,17104090.0
Canada,1959,184.481,10.532,17515523.0
Canada,1960,192.716,10.767,17898792.0
Canada,1961,194.001,10.623,18263079.0
Canada,1962,206.991,11.12,18613596.0
Canada,1963,210.911,11.121,18964256.0
Canada,1964,237.578,12.296,19321670.0
Canada,1965,251.917,12.797,19685519.0
Canada,1966,259.074,12.919,20053665.0
Canada,1967,281.637,13.8,20408776.0
Canada,1968,303.261,14.626,20734171.0
Canada,1969,307.119,14.599,21037620.0
Canada,1970,341.177,15.913,21440020.0
Canada,1971,352.287,16.089,21895693.0
Canada,1972,380.792,17.129,22230876.0
Canada,1973,381.273,16.936,22512230.0
Canada,1974,389.617,17.07,22824083.0
Canada,1975,396.787,17.141,23148980.0
Canada,1976,398.962,17.009,23455783.0
Canada,1977,407.79,17.184,23730341.0
Canada,1978,415.529,17.329,23978742.0
Canada,1979,441.677,18.223,24237173.0
Canada,1980,442.847,18.05,24533779.0
Canada,1981,429.63,17.292,24844977.0
Canada,1982,414.455,16.486,25140164.0
Canada,1983,408.339,16.068,25412604.0
Canada,1984,425.233,16.565,25670376.0
Canada,1985,421.719,16.265,25927463.0
Canada,1986,404.708,15.44,26211035.0
Canada,1987,430.982,16.238,26540914.0
Canada,1988,455.669,16.922,26927938.0
Canada,1989,462.885,16.915,27366047.0
Canada,1990,458.015,16.482,27789436.0
Canada,1991,449.756,15.973,28157153.0
Canada,1992,463.497,16.263,28500065.0
Canada,1993,464.16,16.1,28830635.0
Canada,1994,478.631,16.421,29147382.0
Canada,1995,491.414,16.681,29459136.0
Canada,1996,507.729,17.057,29767210.0
Canada,1997,522.022,17.367,30059087.0
Canada,1998,529.636,17.462,30329968.0
Canada,1999,543.866,17.774,30599458.0
Canada,2000,566.261,18.33,30891800.0
Canada,2001,558.36,17.888,31213577.0
Canada,2002,563.729,17.876,31535580.0
Canada,2003,580.792,18.243,31836484.0
Canada,2004,579.163,18.024,32132680.0
Canada,2005,572.855,17.659,32440173.0
Canada,2006,568.173,17.344,32759174.0
Canada,2007,591.889,17.886,33092172.0
Canada,2008,575.77,17.213,33449089.0
Canada,2009,542.811,16.047,33826369.0
Canada,2010,554.734,16.222,34196901.0
Canada,2011,563.32,16.302,34555450.0
Canada,2012,564.221,16.156,34922512.0
Canada,2013,568.854,16.118,35293420.0
Canada,2014,566.469,15.897,35634265.0
Canada,2015,565.644,15.729,35962236.0
Canada,2016,558.872,15.373,36353345.0
Canada,2017,569.603,15.475,36808500.0
Canada,2018,579.079,15.527,37294997.0
Canada,2019,582.025,15.404,37782931.0
Canada,2020,526.582,13.795,38171901.0
Canada,2021,540.312,14.051,38454058.0
Canada,2022,550.612,14.183,38821260.0
Canada,2023,549.299,13.977,39299099.0
China,1900,,,395929430.0
China,1901,,,397991980.0
China,1902,,,400101986.0
China,1903,,,402259874.0
China,1904,,,404429383.0
China,1905,,,406610574.0
China,1906,,,408803510.0
China,1907,19.894,0.048,411008255.0
China,1908,22.736,0.055,413224872.0
China,1909,24.252,0.058,415905832.0
China,1910,25.009,0.06,419058430.0
China,1911,24.631,0.058,422690056.0
China,1912,17.029,0.04,426808190.0
China,1913,24.252,0.056,431420404.0
China,1914,26.718,0.061,436082439.0
China,1915,25.421,0.058,440794834.0
China,1916,30.131,0.068,445558131.0
China,1917,32.023,0.071,450372881.0
China,1918,34.748,0.076,455336427.0
China,1919,37.997,0.083,459658818.0
China,1920,40.278,0.087,463330522.0
China,1921,38.763,0.083,466341893.0
China,1922,39.972,0.085,468683169.0
China,1923,46.518,0.099,470344471.0
China,1924,48.846,0.103,472011663.0
China,1925,45.955,0.097,473684764.0
China,1926,43.66,0.092,475363795.0
China,1927,45.809,0.096,477048778.0
China,1928,47.591,0.099,478739734.0
China,1929,48.282,0.1,480666438.0
China,1930,49.558,0.103,482831090.0
China,1931,51.905,0.107,485235901.0
China,1932,50.269,0.103,487883101.0
China,1933,54.111,0.11,490774936.0
China,1934,62.383,0.126,493683911.0
China,1935,72.646,0.146,496610129.0
China,1936,75.477,0.151,499553692.0
China,1937,70.969,0.141,502514702.0
China,1938,61.366,0.121,505493263.0
China,1939,74.427,0.146,508423146.0
China,1940,90.791,0.178,511303712.0
China,1941,113.979,0.222,514134316.0
China,1942,127.613,0.247,516914309.0
China,1943,108.995,0.21,519643036.0
China,1944,103.004,0.197,522386167.0
China,1945,55.892,0.106,525143778.0
China,1946,36.107,0.068,527915947.0
China,1947,41.836,0.079,530702750.0
China,1948,38.4,0.072,533504263.0
China,1949,62.081,0.115,537916245.0
China,1950,78.835,0.145,544044354.0
China,1951,102.115,0.184,553758251.0
China,1952,127.999,0.226,565131436.0
China,1953,133.783,0.232,577557142.0
China,1954,160.877,0.273,590113861.0
China,1955,190.521,0.316,603547012.0
China,1956,215.824,0.35,616558585.0
China,1957,255.785,0.406,630356210.0
China,1958,524.617,0.814,644219484.0
China,1959,720.152,1.103,652708210.0
China,1960,798.8,1.22,654802066.0
China,1961,570.63,0.87,655773482.0
China,1962,459.618,0.691,665073692.0
China,1963,456.779,0.667,684552645.0
China,1964,460.637,0.654,704798265.0
China,1965,500.286,0.692,723415737.0
China,1966,549.459,0.74,742402209.0
China,1967,460.226,0.605,761026025.0
China,1968,495.507,0.634,781011031.0
China,1969,607.683,0.758,802140343.0
China,1970,807.953,0.981,823308968.0
China,1971,909.21,1.077,844069870.0
China,1972,968.646,1.122,863677811.0
China,1973,1008.293,1.142,882576941.0
China,1974,1028.1,1.142,900307583.0
China,1975,1183.215,1.292,916116795.0
China,1976,1226.421,1.318,930372293.0
China,1977,1340.831,1.421,943546379.0
China,1978,1492.778,1.561,956161484.0
China,1979,1525.661,1.574,969288069.0
China,1980,1494.496,1.52,983163545.0
China,1981,1476.488,1.48,997721068.0
China,1982,1606.585,1.585,1013588169.0
China,1983,1694.217,1.646,1029064952.0
China,1984,1844.828,1.767,1043849645.0
China,1985,1998.083,1.885,1059807821.0
China,1986,2104.213,1.953,1077233612.0
China,1987,2257.739,2.06,1096217446.0
China,1988,2425.894,2.175,1115244161.0
China,1989,2463.654,2.173,1133991005.0
China,1990,2484.855,2.154,1153582718.0
China,1991,2606.096,2.226,1170788527.0
China,1992,2730.788,2.305,1184574240.0
China,1993,2921.651,2.44,1197308569.0
China,1994,3103.739,2.567,1209003100.0
China,1995,3361.637,2.755,1220133927.0
China,1996,3508.818,2.851,1230944812.0
China,1997,3515.594,2.833,1241139619.0
China,1998,3364.587,2.69,1250847121.0
China,1999,3557.275,2.823,1260176650.0
China,2000,3649.227,2.874,1269581164.0
China,2001,3728.51,2.916,1278725057.0
China,2002,4103.046,3.188,1286866839.0
China,2003,4841.119,3.74,1294517315.0
China,2004,5217.351,4.007,1302100319.0
China,2005,5882.106,4.49,1310027138.0
China,2006,6494.331,4.927,1318054037.0
China,2007,6983.547,5.267,1325813580.0
China,2008,7501.498,5.624,1333821009.0
China,2009,7891.078,5.878,1342522709.0
China,2010,8620.576,6.378,1351561511.0
China,2011,9532.332,7.008,1360250657.0
China,2012,9779.292,7.141,1369520865.0
China,2013,9956.329,7.22,1379008046.0
China,2014,9990.257,7.198,1387951973.0
China,2015,9863.457,7.065,1396134164.0
China,2016,9762.714,6.953,1404052626.0
China,2017,10006.343,7.085,1412354742.0
China,2018,10332.992,7.282,1419008963.0
China,2019,10713.984,7.526,1423520354.0
China,2020,10905.693,7.647,1426106083.0
China,2021,11447.913,8.026,1426437276.0
China,2022,11350.538,7.964,1425179562.0
China,2023,11902.503,8.367,1422584937.0
Germany,1900,326.759,5.858,55775391.0
Germany,1901,325.557,5.753,56591445.0
Germany,1902,319.189,5.558,57433002.0
Germany,1903,343.599,5.894,58300637.0
Germany,1904,356.122,6.017,59181365.0
Germany,1905,382.324,6.364,60075384.0
Germany,1906,361.937,5.935,60982895.0
Germany,1907,442.183,7.143,61904101.0
Germany,1908,446.642,7.108,62839208.0
Germany,1909,445.572,7.011,63557664.0
Germany,1910,445.367,6.953,64056716.0
Germany,1911,458.586,7.128,64333569.0
Germany,1912,499.121,7.752,64385385.0
Germany,1913,535.083,8.333,64209282.0
Germany,1914,497.927,7.776,64033646.0
Germany,1915,462.906,7.249,63858476.0
Germany,1916,500.697,7.862,63683770.0
Germany,1917,524.579,8.26,63509528.0
Germany,1918,503.423,7.952,63305628.0
Germany,1919,387.428,6.128,63226761.0
Germany,1920,429.208,6.783,63273356.0
Germany,1921,473.18,7.458,63445847.0
Germany,1922,455.461,7.145,63744670.0
Germany,1923,331.929,5.173,64170268.0
Germany,1924,451.793,6.994,64598707.0
Germany,1925,458.066,7.044,65030007.0
Germany,1926,413.237,6.312,65464186.0
Germany,1927,481.186,7.302,65901264.0
Germany,1928,505.011,7.612,66341260.0
Germany,1929,539.235,8.074,66789491.0
Germany,1930,462.092,6.872,67246048.0
Germany,1931,385.965,5.7,67711026.0
Germany,1932,347.486,5.096,68184518.0
Germany,1933,364.981,5.315,68666619.0
Germany,1934,408.62,5.909,69152129.0
Germany,1935,452.333,6.495,69641071.0
Germany,1936,499.634,7.124,70133471.0
Germany,1937,563.513,7.978,70629352.0
Germany,1938,601.273,8.453,71128740.0
Germany,1939,648.625,9.072,71499194.0
Germany,1940,654.325,9.121,71740083.0
Germany,1941,660.793,9.197,71850770.0
Germany,1942,667.899,9.298,71830612.0
Germany,1943,679.43,9.479,71678963.0
Germany,1944,600.273,8.392,71527635.0
Germany,1945,116.065,1.626,71376625.0
Germany,1946,271.682,3.814,71225935.0
Germany,1947,317.66,4.469,71075562.0
Germany,1948,377.816,5.327,70925507.0
Germany,1949,432.148,6.096,70888212.0
Germany,1950,510.682,7.311,69847777.0
Germany,1951,576.866,8.267,69782048.0
Germany,1952,610.981,8.75,69826946.0
Germany,1953,623.492,8.915,69935116.0
Germany,1954,659.732,9.411,70104623.0
Germany,1955,723.498,10.287,70334148.0
Germany,1956,766.191,10.85,70613899.0
Germany,1957,777.908,10.943,71088144.0
Germany,1958,756.379,10.55,71694672.0
Germany,1959,755.795,10.462,72241715.0
Germany,1960,813.95,11.179,72811637.0
Germany,1961,834.84,11.378,73376111.0
Germany,1962,883.169,11.935,73997001.0
Germany,1963,945.498,12.658,74698006.0
Germany,1964,968.917,12.865,75313477.0
Germany,1965,960.102,12.638,75966964.0
Germany,1966,951.422,12.419,76611028.0
Germany,1967,936.229,12.163,76970793.0
Germany,1968,984.791,12.736,77321278.0
Germany,1969,1052.001,13.497,77944023.0
Germany,1970,1026.022,13.12,78205102.0
Germany,1971,1037.237,13.239,78345873.0
Germany,1972,1041.481,13.23,78719923.0
Germany,1973,1085.738,13.749,78966976.0
Germany,1974,1062.727,13.453,78996693.0
Germany,1975,1002.447,12.737,78701861.0
Germany,1976,1090.84,13.92,78364503.0
Germany,1977,1052.609,13.463,78185560.0
Germany,1978,1079.133,13.815,78115357.0
Germany,1979,1117.888,14.305,78147899.0
Germany,1980,1100.066,14.047,78315374.0
Germany,1981,1048.523,13.366,78448044.0
Germany,1982,1015.734,12.957,78393671.0
Germany,1983,1011.605,12.932,78224137.0
Germany,1984,1033.245,13.247,77998199.0
Germany,1985,1044.118,13.41,77863423.0
Germany,1986,1047.472,13.442,77923807.0
Germany,1987,1032.443,13.226,78062321.0
